,Account_name,Degree,betweenness,closeness,Centrality
146,rasbt,0.0648721399730821,0.1164072516823001,0.33099437712329555,0.5122737687786778
218,amueller,0.041049798115746966,0.06585482305785997,0.3236777428459597,0.4305823640195666
203,nd1511,0.028398384925975767,0.06294473935719376,0.33797122750976266,0.4293143517929322
237,sebastianruder,0.03714670255720053,0.066094586110346,0.3211369803545428,0.4243782690220893
480,emaballarin,0.01911170928667564,0.047720678022145295,0.3273666016999268,0.3941989890087477
537,adeshpande3,0.02772543741588156,0.04315555246741479,0.31075864685813875,0.3816396367414351
31,aymericdamien,0.02759084791386272,0.04209825582514321,0.3085851120938281,0.3782742158328341
50,sriharsha0806,0.017227456258411843,0.03367592075409905,0.326353670810892,0.3772570478234029
746,guanfuchen,0.017227456258411843,0.033120736494306594,0.3151694521921977,0.3655176449449161
221,rhiever,0.02543741588156124,0.02456469168404838,0.30612214081232103,0.3561242483779306
121,ruotianluo,0.017631224764468368,0.020040846997878912,0.31486073637074913,0.3525328081330964
248,apaszke,0.02086137281292059,0.024394721797122796,0.3042594125598346,0.34951550716987795
366,ibrahimsharaf,0.009690444145356662,0.02017588604553236,0.3134134704732329,0.3432798006641219
1090,eda-ricercatore,0.014131897711978463,0.028971707868423187,0.2975272975604941,0.3406309031408957
362,hanxiao,0.01547779273216689,0.021595323653687812,0.30084229107106203,0.3379154074569167
88,Kyubyong,0.01870794078061911,0.019156002679953592,0.2998134278060177,0.3376773712665904
316,eriklindernoren,0.016958277254374158,0.019924024174040118,0.3004004862735299,0.3372827877019441
354,hunkim,0.01951547779273216,0.025499871673272997,0.2876997539552696,0.33271510342127475
129,Jiankai-Sun,0.01440107671601615,0.01762181344564967,0.2987651291073953,0.33078801926906115
219,ogrisel,0.017631224764468368,0.01255766954174508,0.3002535062295387,0.3304424005357522
442,memoiry,0.011978465679676984,0.01588720874876851,0.2975666443487983,0.3254323187772438
371,linxid,0.008882907133243606,0.015507844485268341,0.3003737519268674,0.3247645035453793
118,danqi,0.016150740242261104,0.017799302566293015,0.2906354657303233,0.3245855085388775
269,shashankg7,0.009017496635262448,0.008800200139395479,0.3053328807242848,0.3231505774989428
571,taki0112,0.012516823687752357,0.014250517748198618,0.2951466628941669,0.32191400433011785
42,kumar-shridhar,0.00915208613728129,0.008675110449368981,0.3026768597907133,0.3205040563773636
63,dgrtwo,0.016285329744279944,0.018223486165852062,0.2824274853375377,0.3169363012476697
160,charlesq34,0.013593539703903094,0.017604850960616234,0.28572695564243344,0.3169253463069528
119,TheShadow29,0.008344549125168238,0.008231920105561041,0.2994277558131871,0.31600422504391634
1406,philferriere,0.00955585464333782,0.009194463338775612,0.2968599906351418,0.3156103086172552
137,antirez,0.01386271870794078,0.027200167239134942,0.27444703720330504,0.31550992315038073
323,anishathalye,0.010901749663526243,0.012871051931335396,0.2897870407423581,0.3135598423372198
249,dasguptar,0.00794078061911171,0.005683740696175614,0.2998533816210239,0.3134779029363112
143,honnibal,0.012651413189771196,0.012539495530873936,0.28773654420513595,0.31292745292578106
787,goldsborough,0.006864064602960969,0.010121489710174764,0.29576739810947245,0.3127529524226082
220,benhamner,0.011305518169582772,0.012885281524513984,0.28836342120776154,0.3125542209018583
527,farizrahman4u,0.010363391655450874,0.011217429919180255,0.29091102081763875,0.3124918423922699
762,4rshdeep,0.007671601615074023,0.009039674052611371,0.2954308427962926,0.31214211846397805
524,surajit-techie,0.005248990578734858,0.009552969042758474,0.2964818748705416,0.3112838344920349
514,terryum,0.00915208613728129,0.00895789804523047,0.292880047164721,0.31099003134723274
1579,minesh1291,0.0063257065948855995,0.010404039031030288,0.2940666228295574,0.3107963684554733
314,chenyuntc,0.011843876177658141,0.012058793689417872,0.2867099612237721,0.3106126310908481
1005,glample,0.00955585464333782,0.008053704929259492,0.2928419299402408,0.3104514895128381
513,jfzhang95,0.007671601615074023,0.004785316502137477,0.2977372674246864,0.3101941855418979
1240,duducheng,0.007537012113055182,0.007268249083939499,0.29517247483722464,0.3099777360342193
254,jasonhavenD,0.005652759084791386,0.008035535220804033,0.2952628522024534,0.30895114650804884
147,shru14,0.005248990578734858,0.00617471004432331,0.2970690193659503,0.3084927199890085
116,boxvc,0.015208613728129206,0.022291468963352472,0.2708896555661339,0.3083897382576156
319,DmitryUlyanov,0.010767160161507404,0.01109797848351654,0.2864787729513428,0.3083439115963667
169,ChenglongChen,0.011574697173620457,0.012139270546173331,0.2845106350439387,0.3082246027637325
2493,mvp18,0.0078061911170928654,0.00658800539497524,0.29304533653364395,0.3074395330457121
1715,ShikharJ,0.004845222072678331,0.006260547704034378,0.2962086676489749,0.3073144374256876
1207,Cadene,0.008209959623149394,0.006306953450158842,0.2924613026754685,0.3069782157487768
1298,ankitsharma07,0.005248990578734858,0.008387939193476027,0.2920816635823846,0.30571859335459545
418,Hilvcha,0.004037685060565276,0.0044238015587717405,0.2957803578587543,0.3042418444780913
1052,mrkswlsn,0.005114401076716016,0.007110367703527288,0.2917030088177905,0.3039277775980338
131,nicholas-leonard,0.00861372812920592,0.004602009661879632,0.29023558891789875,0.3034513267089843
2018,adityashrm21,0.004037685060565276,0.004151129163789213,0.2951208554650676,0.30330966968942197
23,philipperemy,0.00955585464333782,0.009415842043220442,0.28397203849448865,0.3029437351810469
305,mathlf2015,0.0049798115746971724,0.005838398544519022,0.292043753874383,0.3028619639935992
572,TarrySingh,0.009286675639300131,0.0053163175709714135,0.28707575601992386,0.3016787492301954
1438,astorfi,0.0053835800807537,0.0047734625017581,0.2915140493631236,0.3016710919456354
633,sjchoi86,0.010094212651413187,0.007680904582434453,0.2831620171589618,0.30093713439280945
61,WillKoehrsen,0.010363391655450874,0.009525925787235255,0.2810282817257489,0.300917599168435
2736,davidsbatista,0.0036339165545087476,0.00280818636071127,0.2940153894791798,0.30045749239439984
182,pymit,0.003768506056527591,0.006934590448420369,0.288881727523965,0.2995848240289129
410,LydiaCai1203,0.004172274562584118,0.007647155524107769,0.2876874926292401,0.29950692271593204
463,Amanbhandula,0.005114401076716016,0.004184822546536213,0.2881664600662749,0.29746568368952714
991,ap229997,0.006460296096904441,0.0037061501529048178,0.2870269294605192,0.29719337571032844
258,teoliphant,0.006056527590847913,0.006278822827805111,0.2848107390849537,0.2971460895036068
1545,SRvSaha,0.0039030955585464327,0.0044055246995914205,0.2888075697194408,0.29711618997757866
1213,RahulKulhari,0.0029609690444145353,0.0017652278698569845,0.2923726319755929,0.29709882888986444
517,decentralion,0.00915208613728129,0.009826260693456679,0.27804182086879026,0.2970201676995282
539,justachetan,0.0039030955585464327,0.004776568416975195,0.2882895292356391,0.2969691932111607
43,longcw,0.0078061911170928654,0.005760068812127478,0.2832214201163249,0.2967876800455453
