,Account_name,Degree,betweenness,closeness,Centrality
0,danalex97,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4860,amosbird,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4818,drummyfish,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4817,Romop5,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4762,dreamInCoDeforlife,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4761,ArsalaBangash,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4676,FernandoFavoretti,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4675,nicolasmelo1,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4650,anthonyawuley,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4649,aawuley,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4586,GeekBoySupreme,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4585,ariG23498,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4566,Xpitfire,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4565,blu3r4y,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4525,rubenspessoa,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4524,cristophersfr,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4407,mehtapaydin,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4406,stc,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4392,Michael-Gong,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4391,jianwolf,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4288,sachin1092,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4287,PayasR,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4265,thedavidmeister,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4264,mustafademiray,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4252,JiangWenqi,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4251,loganwhite,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4165,NP-compete,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4164,shiv19,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4861,TinySong,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4124,celibertojr,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4862,sylvao08,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
4901,kevin-catlikepuma,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5635,mani1soni,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5634,ShivSoni5,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5608,rpmunoz,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5607,adrianfz,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5418,Anniepoo,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5417,Limmen,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5405,Yoshi3003,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5404,dbof10,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5401,sclinede,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5400,dsalahutdinov,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5392,rishikeshdhokare,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5391,rajeshpg,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5335,ruxandraburtica,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5334,giorgianav,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5276,aeyakovenko,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5275,garious,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5256,mattlawer,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5255,kajinka13,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5178,glennon,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5177,Emmanuel-Ezenwere,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5080,shawnwanderson,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5079,carsonmclean,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5050,ibrahimozgon,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
5049,alperhankendi,0.00013458950201884252,0.0,0.00013458950201884252,0.00026917900403768504
