Account_name,Degree,betweenness,closeness,id,name,ml_target,Degree_betweenness_closeness,Centrality_std
31890,0.250881986,0.269599268,0.517786507,31890,dalinhuang99,0,1.038267761,17.40041666
27803,0.18793602,0.240541422,0.523081406,27803,nfultz,0,0.951558848,15.31686481
19222,0.07846362,0.055322748,0.466323615,19222,Bunlong,0,0.600109982,6.871805346
35773,0.0881721,0.043408133,0.450341648,35773,addyosmani,0,0.58192188,6.434758536
13638,0.065465927,0.035337494,0.447460564,13638,gabrielpconceicao,0,0.548263986,5.625983927
36652,0.06215019,0.030840307,0.439597472,36652,rfthusn,0,0.532587968,5.249300672
10001,0.041592615,0.027611668,0.442253323,10001,ronenhamias,0,0.511457606,4.741553504
19253,0.037242367,0.020315262,0.447333136,19253,JonnyBanana,0,0.504890765,4.58375712
36628,0.039974535,0.018890308,0.442986064,36628,SuriyaaKudoIsc,0,0.501850907,4.51071154
35008,0.041672193,0.015277417,0.42496421,35008,mdo,0,0.481913819,4.031637897
18163,0.051035836,0.025799162,0.404843213,18163,nelsonic,0,0.481678211,4.025976413
9051,0.047667047,0.017509688,0.410378385,9051,getify,0,0.47555512,3.878843003
5629,0.034908088,0.018276166,0.420541252,5629,pengliheng,0,0.473725506,3.834878701
7027,0.039390965,0.010199934,0.423427269,7027,jeresig,0,0.473018168,3.817881896
33671,0.035730391,0.021260576,0.413071824,33671,shayan-taheri,0,0.470062791,3.746866345
2078,0.036287435,0.0132511,0.420484965,2078,mbostock,0,0.470023499,3.74592219
25477,0.024748667,0.010256817,0.431699245,25477,mcanthony,0,0.466704729,3.666174568
22881,0.024005942,0.009039167,0.431733852,22881,ajsb85,0,0.464778962,3.619899787
11051,0.032892119,0.012931895,0.417500028,11051,sdras,0,0.463324042,3.584939124
30002,0.027984827,0.007001725,0.42504087,30002,kauegimenes,0,0.460027423,3.505723773
14242,0.026048436,0.009018076,0.422572943,14242,sibelius,0,0.457639456,3.448342677
3712,0.033528741,0.007115313,0.406989172,3712,isaacs,0,0.447633226,3.207900284
7195,0.016021645,0.008708883,0.422156527,7195,silky,0,0.446887055,3.18997035
23664,0.020822833,0.007462588,0.415475495,23664,kamranahmedse,0,0.443760916,3.114851509
73,0.033608319,0.009459916,0.399269223,73,kentcdodds,0,0.442337457,3.080646824
2281,0.012971166,0.004080889,0.424562194,2281,nikitavoloboev,0,0.441614249,3.063268662
9780,0.012652856,0.003824738,0.42006797,9780,matiasinsaurralde,0,0.436545564,2.941471858
22353,0.020398419,0.00517127,0.410870371,22353,spf13,0,0.43644006,2.938936679
10595,0.026950317,0.005185016,0.403953924,10595,daimajia,0,0.436089257,2.93050715
23589,0.025650548,0.007242268,0.401758406,23589,antirez,1,0.434651221,2.89595219
20173,0.013289477,0.003254441,0.417527771,20173,charlenopires,0,0.434071689,2.882026462
3153,0.019576116,0.004110194,0.410172995,3153,sorrycc,0,0.433859305,2.876923028
37471,0.011432664,0.003803314,0.418157617,37471,macressler,0,0.433393595,2.865732362
29055,0.010026791,0.00376908,0.419320394,29055,Bharathkumarraju,0,0.433116265,2.859068309
13504,0.008912703,0.002102598,0.421849473,13504,monkinco,0,0.432864774,2.853025167
28957,0.019841375,0.009622429,0.403133187,28957,ahmetabdi,0,0.432596991,2.846590544
11279,0.0249874,0.003977798,0.402590746,11279,RubyLouvre,0,0.431555944,2.821574947
10080,0.014801454,0.002484244,0.412159577,10080,indrajithbandara,0,0.429445275,2.770857099
15191,0.024616038,0.004999378,0.399828186,15191,sophiebits,0,0.429443601,2.77081689
974,0.016101223,0.002640633,0.410490097,974,bevacqua,0,0.429231952,2.765731122
36819,0.009735006,0.003012814,0.415214662,36819,JamesLinus,0,0.427962482,2.735226669
21375,0.010318576,0.002803419,0.412818519,21375,digideskio,0,0.425940514,2.686640267
33029,0.020690204,0.004234896,0.400886866,33029,igrigorik,0,0.425811966,2.683551359
26666,0.008780074,0.002123996,0.414648364,26666,appleboy,0,0.425552435,2.677315
18945,0.017639725,0.003115593,0.404552137,18945,TheLarkInn,0,0.425307455,2.671428316
25812,0.006764105,0.001724864,0.416655615,25812,danieldsf,0,0.425144584,2.667514648
11081,0.009018807,0.002498559,0.413207651,11081,dann95,0,0.424725016,2.657432735
25249,0.015305446,0.003654358,0.405701495,25249,mxcl,0,0.424661298,2.655901643
13857,0.00763946,0.001464852,0.415182652,13857,chentsulin,0,0.424286964,2.646906669
18562,0.009284066,0.001562194,0.412963227,18562,podviaznikov,0,0.423809487,2.635433241
16119,0.01352821,0.002545512,0.407600822,16119,jaredpalmer,0,0.423674544,2.632190649
21142,0.018276347,0.00223687,0.401664234,21142,fengmk2,0,0.42217745,2.596216594
15192,0.007798615,0.00149913,0.412777839,15192,bcherny,0,0.422075584,2.59376881
22321,0.016393008,0.003188337,0.402491886,22321,bradfitz,1,0.42207323,2.593712259
31917,0.013952625,0.00169355,0.405692763,31917,creationix,0,0.421338938,2.576067747
31659,0.007931245,0.000879688,0.412303822,31659,simongfxu,0,0.421114756,2.570680816
