,0,1_x,1_y,1
0,Eiryyy,2.6525902543834053e-05,0.0,0.27502662795278465
1,airtoxin,0.0008488288814026897,0.00014523125501829566,0.3793571888584769
2,shawflying,0.00021220722035067242,1.1499155409178771e-06,0.2949797342764589
3,ghosind,5.3051805087668106e-05,3.491845238649087e-07,0.2872304761904762
4,jasondu,0.001061036101753362,2.1975042237672153e-05,0.3753646709746796
5,chaoslawful,0.0028117456696464095,0.0002224405443443398,0.3683197530140493
6,dead-horse,0.012971166343934852,0.001086074432295149,0.4034394931723813
7,fengmk2,0.01827634685270166,0.002236869640859358,0.4016642338877228
8,atian25,0.010742990530252792,0.0008291578162324718,0.38721638472046754
9,778477,0.0009018806864903578,5.268121778886169e-05,0.3593221308272253
10,iceopen,5.3051805087668106e-05,1.7983925138537068e-06,0.34345192001093244
11,danalex97,5.3051805087668106e-05,2.2066029423623008e-07,0.26726075274534405
12,benjaminaaron,0.001034510199209528,0.0002678393139676884,0.3644563462523806
13,panpan2,7.957770763150216e-05,7.628416875277955e-07,0.26798077879981236
14,SuhwanCha,0.00013262951271917026,5.3171378426806956e-05,0.27873979652194486
15,YuHyun7,2.6525902543834053e-05,0.0,0.21798133521446
16,graykode,0.0007692511737711875,0.00023579010817862845,0.3461481957579653
17,ISKU,0.000530518050876681,9.143257746202354e-05,0.34838417536110006
18,amacgregor,0.0007692511737711875,0.00016526052653209115,0.3540443835050385
19,IJEMIN,0.000503992148332847,0.00019294285245424726,0.378393841150669
20,sunilangadi2,5.3051805087668106e-05,6.135293901008023e-09,0.2431032926215871
21,mshahriarinia,7.957770763150216e-05,9.81451510951713e-06,0.28091026281081644
22,KnightBaron,0.00018568131780683837,9.700626127480748e-05,0.3182075240772159
23,j6montoya,2.6525902543834053e-05,0.0,0.34343940456777416
24,nfultz,0.18793601952306427,0.24054142223496564,0.5230814058359118
25,sfate,0.0001591554152630043,2.0988864681279595e-06,0.37227329732291864
26,dan-manges,0.000503992148332847,9.944839392650324e-06,0.35258742436004153
27,josh,0.008010822568237885,0.0007486404712736454,0.38126396909353855
28,dalinhuang99,0.25088198625958247,0.2695992678587701,0.5177865069772553
29,davydovanton,0.001485450542454707,0.00013773070477851192,0.33133239585164354
30,podviaznikov,0.00928406589034192,0.0015621943956873542,0.41296322667572216
31,amituuush,0.00021220722035067242,6.165520943708191e-07,0.32022662793265716
32,EQuimper,0.0027852197671025757,0.000430711499794234,0.39179596969476516
33,mjackson,0.014164831958407384,0.002369212171378265,0.3823893374447194
34,remy,0.017692776996737315,0.0026553326432771063,0.3889020704168687
35,addyosmani,0.08817210005570439,0.043408132563431005,0.4503416475535168
36,Hendrixer,0.0039258335764874395,0.0005252217954550977,0.3547606948600681
37,rockchalkwushock,0.0006100957585081832,2.6857064443445857e-05,0.38899837999030057
38,passy,0.007931244860606382,0.0005868806127921936,0.39825271231024395
39,getify,0.04766704687126979,0.017509687900561736,0.41037838543934513
40,Daichou,0.00021220722035067242,5.9036190884706415e-06,0.34342376154645
41,penk,0.00047746624578901296,2.550490373280688e-05,0.31958325915753244
42,calee0219,0.0007692511737711875,6.230982184877326e-05,0.34835842134930095
43,import-yuefeng,0.001087562004297196,0.00014314305663630367,0.35423400736675936
44,ss8651twtw,0.000503992148332847,3.8687788183795294e-05,0.29954312502483016
45,floatflower,0.00013262951271917026,1.81791398021531e-06,0.3435520764036343
46,appleboy,0.008780073742009072,0.0021239964409670736,0.4146483644602829
47,kevinptt0323,0.0003183108305260086,1.0021174491642545e-05,0.343686753578266
48,mauroherlein,0.00021220722035067242,1.7843037633936042e-07,0.3515615528801768
49,JonnyBanana,0.03724236717154301,0.020315262445598045,0.4473331355680807
50,glaucia86,0.0026791161569272395,0.00019405955227726662,0.36106694761038216
51,iSuperMostafa,0.0027321679620149076,7.801317459878897e-05,0.36865832192450615
52,rfthusn,0.062150189660203185,0.030840306510495845,0.4395974719559691
53,indrajithbandara,0.014801453619459401,0.0024842442592483915,0.4121595766779276
54,amiryeg,0.004429825724820287,0.0009337774725716463,0.40015072389929096
55,tamimibrahim17,0.005543913631661317,0.0012302098213983195,0.38178522239325935
56,ParadoxZero,0.00018568131780683837,2.7123012191680575e-05,0.34361783578824556
57,eXpl0it3r,0.00037136263561367674,0.00010187431514551703,0.31752408867327
58,apuayush,0.0005835698559643491,4.116931738014927e-05,0.35649846805613344
59,sachushaji,5.3051805087668106e-05,0.0,0.2715968444940744
60,Aksh77,7.957770763150216e-05,4.821949245567226e-08,0.2760799994141383
61,shashank-sj,0.00018568131780683837,6.306980736885831e-05,0.37271864433591045
62,dineshsonachalam,0.002042494495875222,0.00024338041230578987,0.3902668792314541
63,llazzaro,0.0017507095678930475,0.00018972470838325727,0.39077659839124307
64,ghutchis,0.0003183108305260086,9.853401187517832e-06,0.2887750099580231
65,antirez,0.02565054775988753,0.007242267578273041,0.4017584057121543
66,readywater,0.0003448367330698427,1.317806062973077e-05,0.35299019653742075
67,mbostock,0.03628743467996499,0.013251099691563743,0.4204849647541715
68,patrickfuller,0.00042441444070134485,2.303338791592415e-05,0.34488468470116823
69,gabrielelana,0.0011936656144725323,4.0458723835812806e-05,0.34878707695723776
70,ledell,0.0017507095678930475,0.00033910200332908915,0.35802199471974777
71,Stiivi,0.0007161993686835194,8.361283183556884e-05,0.31771140588919417
72,eamanu,0.00018568131780683837,1.4372901050195656e-06,0.3453870819972515
73,qinix,0.003527945038329929,0.00012018284369145117,0.3708159150150002
74,sigmavirus24,0.0027056420594710733,0.00025991475003542296,0.3598400244354084
75,dimasik9081,0.0012467174195602004,5.808628872987568e-05,0.3613853793209226
76,Ullaakut,0.0004509403432451789,1.4896294094808718e-05,0.3492814987075315
77,mjhea0,0.0031300565001724182,0.0004199498942379002,0.35994653172291974
78,koistya,0.0022281758136820603,0.00029620775739883,0.37113716687832876
79,dahlia,0.0024403830340327328,0.0003035600944894612,0.3874949891560197
80,samdenty,0.0005835698559643491,2.8306902947349614e-05,0.33148680612343595
81,donnemartin,0.015172816255073078,0.005136510897724522,0.3909670728545502
82,Bunlong,0.07846361972466113,0.055322747841606644,0.4663236149079079
83,dgfigueroa29,0.00029178492798217457,4.8795520933797594e-05,0.29609412429999765
84,coreylynch,0.0007161993686835194,4.649880007995084e-05,0.34977407891929
85,rdp,0.000503992148332847,2.864078967696271e-05,0.3474914507461586
86,bradmontgomery,0.0003978885381575108,1.3314990741099449e-05,0.3201640778265633
87,sam0hack,0.0014589246399108729,0.00013114150155983572,0.38666830774280236
88,jimfleming,0.0008488288814026897,0.00011295704065107208,0.3498227641371119
89,fogleman,0.007878193055518713,0.001467102699296746,0.37621875155930345
90,MaximAbramchuck,0.001989442690787554,0.00024287717782267804,0.37942973318437556
91,ellisonleao,0.0018568131780683837,0.00013514975183302592,0.3886414713098699
92,mafintosh,0.016843948115334625,0.0025005863655391336,0.3931689002450853
93,XayOn,0.00018568131780683837,1.7790485824685117e-07,0.2915825540834242
94,BolajiAyodeji,0.0036605745510490994,0.0005802563989251803,0.3786484803439063
95,ericclemmons,0.0023077535213135627,0.0001026915792879289,0.36715394579222627
96,sanjmen,0.00013262951271917026,2.250675988704825e-06,0.34376196815786114
97,jirikuncar,0.00023873312289450648,1.754242240291733e-06,0.3137060737436862
98,dionyziz,0.001936390885699886,0.00035383842303496495,0.35978164396896445
99,iepathos,0.0008223029788588556,2.711417730298973e-05,0.34431769401492385
100,paulmillr,0.007745563542799544,0.0007192101516517259,0.380551966405556
101,ianb,0.002493434839120401,0.00017081903497469136,0.36849976540506724
102,jayantj,0.0005570439534205151,6.211061900604728e-05,0.3496832360934616
103,joncalhoun,0.0007692511737711875,3.817133423692367e-05,0.32467230480389964
104,adamstac,0.002546486644208069,0.0001682978709497194,0.36007717508620113
105,angvp,0.000503992148332847,2.531981841726898e-05,0.3607905062685424
106,byt3bl33d3r,0.0018833390806122178,0.0002962175511910983,0.3804329179070589
107,davglass,0.0028647974747340777,0.00033026683915606285,0.39136076737812475
108,goldhand,0.0003978885381575108,4.0469493960507815e-06,0.32562016307352126
109,gabrielpconceicao,0.06546592747818245,0.03533749418090742,0.4474605642662995
110,hustcc,0.007825141250431046,0.0010164806613966772,0.3915233466267863
111,rdegges,0.005411284118942147,0.0011165843804950577,0.3958482086605905
112,ParinVachhani,0.0062601130003448364,0.0011563350195403432,0.4081524386943106
113,cbertelegni,0.00018568131780683837,3.1667776754262e-06,0.30156304994720506
114,epeli,0.0012201915170163664,0.00012301501338690422,0.37948702462201284
115,jchodera,0.000503992148332847,7.98702959458112e-05,0.3056535240272744
116,kauegimenes,0.027984827183744926,0.007001724979764596,0.42504087039855687
117,jeresig,0.039390965277593566,0.010199934206206256,0.4234272685408781
118,alexandre,0.00037136263561367674,1.3738319418306486e-05,0.37400172620760125
119,martin75carames,0.0001591554152630043,1.4777302935746215e-07,0.28692442347210595
120,mdo,0.0416721928963633,0.015277416778002198,0.42496420962451104
121,emilbayes,0.0017507095678930475,5.307557644651846e-05,0.3820444480476707
122,dongAxis,0.00029178492798217457,3.204337065324397e-06,0.35481745710547863
123,qinxuye,0.0007427252712273535,0.0001580353166207457,0.3455010356141283
124,SlexAxton,0.006843682856309185,0.0005472760249611707,0.37855342564792593
125,gutomaia,0.0008223029788588556,7.059364964175485e-05,0.348580674988442
126,rikoz,0.00023873312289450648,4.42148351846289e-06,0.34410084156337284
127,beeva-manueldepaz,5.3051805087668106e-05,0.0,0.3715285306001774
128,damianmuti,0.0001591554152630043,1.3991832244781723e-06,0.30126181704851485
129,kenwheeler,0.01387304703042521,0.0028725811224029024,0.4036295503211991
130,arzafran,0.0002652590254383405,3.873994012945399e-05,0.3191990178231235
131,RobertoGonzalez,0.0006631475635958513,2.92051584503773e-05,0.37465961718113333
132,RichardBray,0.00042441444070134485,1.0688616061014067e-05,0.3571333838575218
133,mravinale,0.00018568131780683837,2.0162687241527153e-05,0.31102475888754133
134,sdras,0.03289211915435423,0.012931894917630063,0.4175000276864126
135,apobbati,7.957770763150216e-05,5.704162954090182e-07,0.35147960991254734
136,pengliheng,0.03490808774768561,0.01827616579930896,0.42054125206371873
137,hwlv,0.00047746624578901296,4.044098062478153e-06,0.3240611004616059
138,Nealyang,0.002042494495875222,3.796937217381789e-05,0.31971606425021626
139,DAAI093,0.002546486644208069,0.00017813360346052794,0.3470531916852319
140,mercyblitz,0.0029178492798217458,0.000226970718347105,0.32513993462530294
141,Aaaaaaaty,0.0012997692246478685,1.074872404052025e-05,0.3060306688205736
142,luin,0.008700496034377569,0.000906359173873146,0.39700709787484995
143,cowboy,0.01021247247937611,0.0009497533611594836,0.396814870952802
144,bailicangdu,0.012095811559988328,0.002397013041580079,0.3865850407104329
145,devWayne,0.0007957770763150216,2.2571613748897873e-05,0.3848407513270723
146,alsotang,0.012971166343934852,0.0014749925872791629,0.38411142583498054
147,jawil,0.008143452080957054,0.0010105872932707099,0.38466404775266566
148,luyilin,0.001061036101753362,2.4068131117120566e-05,0.35305631257082387
149,bob-chen,0.0003183108305260086,1.1465930017432294e-06,0.31102219288837557
150,lin-xin,0.0017772354704368816,0.0001098108228268499,0.3550881621580891
151,ai,0.015278919865248415,0.002770881546350396,0.38584514610306536
152,afc163,0.014430090983845725,0.0015423512754018558,0.3922117375336822
153,halfrost,0.007029364174116024,0.0007596078857323881,0.37479743500521945
154,haroldoramirez,0.00047746624578901296,6.669799637328894e-05,0.38497829971917286
155,marcospereira,0.0009814583941218599,1.5017752042906065e-05,0.32471984633539197
156,enjelhutasoit,0.0048011883604339636,0.0002767204886244433,0.3735014960271068
157,Suburbanno,0.0006366216610520172,6.192755857174865e-05,0.3147931662185407
158,Foxandxss,0.0019629167882437197,0.00024326378568571982,0.3627310427110294
159,KOUISAmine,0.0027056420594710733,4.6234496478986095e-05,0.36436123944097576
160,gnuwilliam,0.0032361601103477544,0.00028841718039774856,0.38899436613905114
161,jhonnymertz,2.6525902543834053e-05,0.0,0.27796907604167437
162,LendisFabri,0.007480304517361203,0.0016972312400513458,0.40870555073720727
163,santiagomarcos,0.002493434839120401,0.000173649774044439,0.39407718682053855
164,shayan-taheri,0.03573039072654447,0.021260576450568468,0.4130718238097847
165,nelsonic,0.05103583649433672,0.025799161903989187,0.40484321305841925
166,PaulKinlan,0.00530518050876681,0.0005525531234088373,0.3638021712907117
167,BahiHussein,7.957770763150216e-05,1.2229703485083989e-08,0.28768419526414996
168,davidcelis,0.0009284065890341919,1.6154122644083886e-05,0.32105021120043603
169,fredwu,0.0031035305976285844,0.0002796867558032879,0.36703241069776954
170,itsmevanessi,7.957770763150216e-05,8.501281056007092e-07,0.3436147038181437
171,M-Sayed,0.00013262951271917026,2.2142371178584685e-06,0.3435896501125582
172,ahmgeek,0.003634048648505265,0.0005021239259945939,0.4041704636826588
173,chengzhipeng,0.00010610361017533621,1.577529256730546e-08,0.28892107723670696
174,leichunfeng,0.0026791161569272395,0.0001752011103540439,0.35946603098927293
175,DianQK,0.002413857131488899,2.7185465926573952e-05,0.31761771966333313
176,steipete,0.007480304517361203,0.0011248105787278228,0.3723799363875225
177,onevcat,0.018143717339982494,0.003601102509846493,0.37710313093928177
178,tiensonqin,0.0008753547839465238,3.9306062684367374e-05,0.3789796431264137
179,samoht,0.0006896734661396854,5.598212234764218e-06,0.3173530204054145
180,namin,0.0016711318602615453,0.00012348705504944895,0.35328460312997845
181,leonstafford,0.010689938725165124,0.003662824898667116,0.36584632106049725
182,roman01la,0.0020955463009628902,9.137541081573284e-05,0.358665766014328
183,avelino,0.008063874373325551,0.001257906259337528,0.3974046783255853
184,bradfitz,0.016393007772089446,0.0031883365138675834,0.40249188588998974
185,sophiebits,0.024616037560678,0.0049993776734140625,0.3998281859833701
186,sibelius,0.02604843629804504,0.00901807612675013,0.42257294340510915
187,kachayev,0.002069020398419056,0.00023665883791255872,0.3827115374854068
188,ccheever,0.001061036101753362,0.000173976207685358,0.3578690563207807
189,faceyspacey,0.003501419135786095,0.00048720986611364733,0.3862523308948587
190,sritchie,0.0004509403432451789,9.171883475524696e-06,0.3520901823072325
191,galletti94,0.00018568131780683837,9.43032733578773e-05,0.3104203548931615
